raman_shift,raw_intensity,spike_candidate,processed_intensity
459.594,188.0,False,0.32525951557093424
459.9,216.0,False,0.3737024221453287
460.205,188.0,False,0.32525951557093424
460.51,200.0,False,0.3460207612456747
460.818,200.0,False,0.3460207612456747
461.123,208.0,False,0.35986159169550175
461.428,200.0,False,0.3460207612456747
461.733,198.0,False,0.34256055363321797
462.039,208.0,False,0.35986159169550175
462.344,198.0,False,0.34256055363321797
462.649,196.0,False,0.3391003460207612
462.954,196.0,False,0.3391003460207612
463.259,204.0,False,0.35294117647058826
463.565,192.0,False,0.33217993079584773
463.87,198.0,False,0.34256055363321797
464.175,198.0,False,0.34256055363321797
464.48,182.0,False,0.314878892733564
464.785,186.0,False,0.3217993079584775
465.09,182.0,False,0.314878892733564
465.398,204.0,False,0.35294117647058826
465.703,182.0,False,0.314878892733564
466.008,202.0,False,0.3494809688581315
466.313,192.0,False,0.33217993079584773
466.618,190.0,False,0.328719723183391
466.923,192.0,False,0.33217993079584773
467.228,202.0,False,0.3494809688581315
467.533,176.0,False,0.3044982698961938
467.838,196.0,False,0.3391003460207612
468.143,174.0,False,0.30103806228373703
468.448,184.0,False,0.31833910034602075
468.753,170.0,False,0.29411764705882354
469.058,188.0,False,0.32525951557093424
469.363,186.0,False,0.3217993079584775
469.668,182.0,False,0.314878892733564
469.973,194.0,False,0.3356401384083045
470.278,188.0,False,0.32525951557093424
470.583,194.0,False,0.3356401384083045
470.888,174.0,False,0.30103806228373703
471.193,180.0,False,0.31141868512110726
471.498,170.0,False,0.29411764705882354
471.803,192.0,False,0.33217993079584773
472.108,190.0,False,0.328719723183391
472.413,186.0,False,0.3217993079584775
472.717,158.0,False,0.27335640138408307
473.022,172.0,False,0.2975778546712803
473.327,174.0,False,0.30103806228373703
473.632,164.0,False,0.2837370242214533
473.937,154.0,False,0.2664359861591695
474.242,156.0,False,0.2698961937716263
474.546,166.0,False,0.28719723183391005
474.851,160.0,False,0.2768166089965398
475.156,152.0,False,0.2629757785467128
475.461,160.0,False,0.2768166089965398
475.766,148.0,False,0.2560553633217993
476.07,156.0,False,0.2698961937716263
476.375,164.0,False,0.2837370242214533
476.68,150.0,False,0.25951557093425603
476.985,162.0,False,0.28027681660899656
477.289,150.0,False,0.25951557093425603
477.594,156.0,False,0.2698961937716263
477.899,172.0,False,0.2975778546712803
478.203,158.0,False,0.27335640138408307
478.508,172.0,False,0.2975778546712803
478.813,164.0,False,0.2837370242214533
479.117,178.0,False,0.3079584775086505
479.422,164.0,False,0.2837370242214533
479.727,140.0,False,0.2422145328719723
480.031,158.0,False,0.27335640138408307
480.336,126.0,False,0.2179930795847751
480.641,156.0,False,0.2698961937716263
480.945,158.0,False,0.27335640138408307
481.248,160.0,False,0.2768166089965398
481.552,158.0,False,0.27335640138408307
481.857,172.0,False,0.2975778546712803
482.161,158.0,False,0.27335640138408307
482.466,172.0,False,0.2975778546712803
482.771,158.0,False,0.27335640138408307
483.075,162.0,False,0.28027681660899656
483.38,166.0,False,0.28719723183391005
483.684,156.0,False,0.2698961937716263
483.989,174.0,False,0.30103806228373703
484.293,172.0,False,0.2975778546712803
484.598,154.0,False,0.2664359861591695
484.902,164.0,False,0.2837370242214533
485.207,162.0,False,0.28027681660899656
485.509,174.0,False,0.30103806228373703
485.813,148.0,False,0.2560553633217993
486.118,156.0,False,0.2698961937716263
486.422,162.0,False,0.28027681660899656
486.727,170.0,False,0.29411764705882354
487.031,170.0,False,0.29411764705882354
487.335,162.0,False,0.28027681660899656
487.64,154.0,False,0.2664359861591695
487.944,178.0,False,0.3079584775086505
488.249,166.0,False,0.28719723183391005
488.553,136.0,False,0.23529411764705882
488.855,144.0,False,0.2491349480968858
489.16,162.0,False,0.28027681660899656
489.464,168.0,False,0.2906574394463668
489.768,158.0,False,0.27335640138408307
490.072,156.0,False,0.2698961937716263
490.377,148.0,False,0.2560553633217993
490.681,162.0,False,0.28027681660899656
